epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7774,1.70535,2.13714,1.44258,0.00381,0.03843,0.00198,0.00095,2.84993,inf,5.6556,0.00330579,0.00330579,0.0702479
2,93.0599,1.70725,1.77441,1.43187,0.33975,0.49114,0.3376,0.15567,1.67096,17.0267,1.51809,0.00657279,0.00657279,0.0401816
3,137.231,1.64577,1.64588,1.40312,0.55129,0.42066,0.42944,0.2167,2.04143,4.10248,1.84579,0.0097732,0.0097732,0.0100487
4,181.592,1.61924,1.49217,1.38229,0.57515,0.6158,0.56143,0.27353,1.65789,4.60509,1.39192,0.0097003,0.0097003,0.0097003
5,225.762,1.5607,1.49502,1.36151,0.68515,0.57667,0.66454,0.32841,1.67272,2.35473,1.37446,0.0096004,0.0096004,0.0096004
6,269.959,1.52306,1.39852,1.30542,0.66944,0.66672,0.72615,0.40921,1.43901,1.58168,1.25633,0.0095005,0.0095005,0.0095005
7,314.428,1.47796,1.34616,1.3083,0.7439,0.70529,0.77655,0.43253,1.47652,1.33506,1.25813,0.0094006,0.0094006,0.0094006
8,358.326,1.4933,1.3046,1.2904,0.75795,0.73049,0.79619,0.4147,1.63392,1.25738,1.34999,0.0093007,0.0093007,0.0093007
9,402.344,1.43689,1.25528,1.27959,0.79296,0.71751,0.79455,0.44252,1.45842,1.21017,1.26815,0.0092008,0.0092008,0.0092008
10,446.198,1.47318,1.25669,1.30233,0.795,0.71421,0.79834,0.46789,1.43202,1.24799,1.22238,0.0091009,0.0091009,0.0091009
11,490.292,1.44634,1.21043,1.27056,0.72764,0.71571,0.77626,0.49394,1.26293,1.29535,1.1649,0.009001,0.009001,0.009001
12,534.599,1.48569,1.22696,1.28291,0.71172,0.75676,0.80906,0.49922,1.3101,1.07341,1.16998,0.0089011,0.0089011,0.0089011
13,578.747,1.43312,1.17477,1.25443,0.80956,0.779,0.8516,0.49153,1.45501,1.17959,1.21833,0.0088012,0.0088012,0.0088012
14,622.337,1.38064,1.11555,1.25087,0.81326,0.75638,0.82655,0.48182,1.42662,1.48976,1.22667,0.0087013,0.0087013,0.0087013
15,666.314,1.41463,1.13895,1.26451,0.7781,0.70274,0.78289,0.41318,1.59971,1.35676,1.31405,0.0086014,0.0086014,0.0086014
16,710.3,1.39753,1.13827,1.25213,0.81222,0.72122,0.8088,0.48121,1.40669,1.47632,1.22311,0.0085015,0.0085015,0.0085015
17,754.061,1.36027,1.08628,1.24042,0.8008,0.73933,0.82402,0.54103,1.21315,1.12761,1.12925,0.0084016,0.0084016,0.0084016
18,798.012,1.3454,1.08055,1.22803,0.76445,0.74788,0.80902,0.50742,1.26325,1.16423,1.15996,0.0083017,0.0083017,0.0083017
19,841.918,1.34734,1.12963,1.23529,0.76749,0.75576,0.84097,0.47172,1.44696,1.07237,1.26213,0.0082018,0.0082018,0.0082018
20,885.581,1.3169,1.05597,1.20101,0.7693,0.73119,0.79209,0.49683,1.20332,1.36582,1.10243,0.0081019,0.0081019,0.0081019
21,929.648,1.28545,1.04521,1.20775,0.7997,0.75492,0.82557,0.50975,1.15504,1.0254,1.10317,0.008002,0.008002,0.008002
22,973.238,1.26415,1.00866,1.18576,0.80451,0.72949,0.82076,0.56172,1.08135,1.09805,1.06919,0.0079021,0.0079021,0.0079021
23,1016.9,1.25895,0.99801,1.18081,0.81403,0.76893,0.84702,0.57744,1.02558,1.51918,1.03332,0.0078022,0.0078022,0.0078022
24,1060.62,1.27271,0.96862,1.1952,0.83433,0.79844,0.86729,0.593,1.10134,1.17447,1.06798,0.0077023,0.0077023,0.0077023
